claimed_amount,days_since_policy_start,days_to_report,historical_claim_count,document_count,missing_document_count,date_conflict_count,amount_conflict_count,amount_vs_repair_estimate_ratio,scenario_label
238726.08,194,8,0,2,0,0,0,1.048,normal
193296.77,501,5,1,2,0,0,0,0.933,normal
282659.69,57,13,0,2,0,1,0,0.916,normal
150891.39,544,13,1,4,0,0,0,1.019,normal
286122.74,450,16,1,4,0,0,0,1.105,normal
178552.13,769,15,1,2,0,0,0,1.03,normal
239035.24,393,6,1,3,0,0,0,0.999,normal
85138.38,222,18,1,3,0,0,0,0.956,normal
185873.18,176,16,0,2,0,0,0,1.076,normal
169489.04,808,11,0,2,0,0,0,1.08,normal
166167.19,702,15,0,2,0,0,0,1.01,normal
266870.81,233,4,0,2,1,0,0,0.97,normal
265844.74,355,15,1,3,0,0,0,0.981,normal
287827.69,250,13,0,2,0,0,0,0.977,normal
468195.37,599,15,0,2,1,0,0,0.978,normal
159563.6,332,9,0,3,0,0,0,1.068,normal
262315.1,56,0,6,2,1,0,0,1.357,synthetic_anomaly
187695.53,738,15,0,3,0,0,0,1.063,normal
218557.86,2,83,2,2,1,0,0,1.296,synthetic_anomaly
384390.91,615,20,0,3,0,0,0,1.063,normal
415735.43,425,34,8,3,0,0,0,0.966,synthetic_anomaly
275972.91,720,2,0,3,0,0,0,1.1,normal
188628.31,584,1,1,2,0,0,0,0.931,normal
272730.8,388,8,10,3,2,0,0,0.947,synthetic_anomaly
86320.7,468,18,0,2,1,0,0,1.006,normal
451353.52,12,146,2,0,2,0,0,1.13,synthetic_anomaly
272800.28,122,12,0,2,0,0,0,0.967,normal
147798.45,416,14,2,3,1,0,0,1.118,normal
234707.38,858,0,1,2,0,0,0,1.109,normal
385932.86,668,10,1,2,0,0,0,0.987,normal
214839.58,388,7,1,3,0,0,1,1.01,normal
345247.95,301,20,0,3,0,0,0,0.997,normal
113979.74,816,4,0,4,0,0,0,1.005,normal
156423.38,503,12,0,4,0,0,0,1.02,normal
192343.09,5,105,0,2,3,0,0,1.314,synthetic_anomaly
1406241.89,373,10,0,3,2,0,2,4.884,synthetic_anomaly
86370.94,83,20,0,2,1,0,0,0.955,normal
218145.99,419,3,0,2,0,0,0,1.002,normal
59679.31,414,12,2,2,0,0,0,0.97,normal
178711.01,601,12,0,3,0,0,0,1.076,normal
231525.02,374,19,0,2,0,0,0,1.019,normal
534572.55,230,6,4,1,1,0,0,1.033,synthetic_anomaly
241952.45,51,1,1,2,0,0,0,1.113,normal
142717.56,718,1,0,2,0,0,0,0.994,normal
347480.68,209,4,0,3,0,0,0,1.035,normal
219968.38,407,15,1,2,1,0,0,1.119,normal
135915.91,331,14,0,2,0,0,0,1.085,normal
300002.97,871,2,0,2,0,0,0,1.005,normal
159671.75,524,15,0,2,0,0,0,0.958,normal
293627.83,790,4,2,3,0,0,0,1.009,normal
152152.04,284,3,1,2,0,0,0,1.01,normal
158041.25,597,4,0,3,0,0,0,1.112,normal
199310.04,490,11,0,3,0,0,0,1.051,normal
51525.63,485,2,1,4,1,0,0,1.068,normal
120800.54,718,9,1,2,0,0,0,1.0,normal
123900.15,847,12,1,3,0,1,0,1.087,normal
321649.82,821,9,3,3,0,0,0,1.067,normal
234896.27,438,10,0,2,0,0,0,1.117,normal
251077.5,756,7,0,4,0,0,0,1.076,normal
117663.54,464,8,0,2,1,0,0,0.985,normal
266668.83,246,8,1,2,0,0,0,1.017,normal
151982.48,337,5,1,4,0,0,0,1.015,normal
150619.53,527,6,0,3,0,0,0,1.026,normal
1383097.37,28,139,6,0,2,1,2,4.158,synthetic_anomaly
216221.27,470,3,0,3,0,0,0,1.001,normal
181500.91,891,3,0,2,0,0,0,1.021,normal
176850.5,89,17,0,2,0,0,0,0.925,normal
340644.41,103,1,0,2,0,0,0,0.969,normal
1090168.36,43,64,5,0,2,2,1,2.222,synthetic_anomaly
240941.64,286,5,0,3,0,0,0,1.055,normal
221502.15,73,9,2,2,1,0,0,0.997,normal
222094.52,44,17,0,2,0,0,1,1.067,normal
127686.63,650,11,0,2,0,0,0,1.039,normal
250706.11,429,80,1,1,2,3,1,2.11,synthetic_anomaly
194064.94,107,4,1,2,0,0,0,1.055,normal
297317.95,562,17,1,4,0,0,0,1.048,normal
109737.87,557,4,0,3,0,1,0,1.052,normal
284776.57,711,8,0,2,1,0,0,1.066,normal
161097.84,530,2,2,2,0,0,0,0.944,normal
285573.39,95,17,3,4,0,0,0,1.045,normal
199040.55,693,10,0,2,0,0,0,1.011,normal
218116.54,871,1,1,2,0,0,0,1.01,normal
118849.25,412,14,2,2,0,0,0,1.083,normal
157870.98,170,4,0,3,0,0,0,1.034,normal
168615.73,574,12,1,2,0,0,0,0.963,normal
102895.21,553,15,1,4,0,0,0,1.062,normal
264811.21,651,13,3,4,0,0,0,1.093,normal
275991.51,665,4,2,2,0,0,0,0.989,normal
140914.88,883,0,0,2,0,0,0,1.004,normal
350776.34,303,0,0,3,0,0,0,0.981,normal
130658.11,229,11,1,2,0,0,0,1.076,normal
54259.65,359,19,0,2,0,0,0,1.075,normal
332258.46,324,3,1,2,0,0,0,0.992,normal
157718.91,125,7,1,2,0,0,0,0.959,normal
308840.34,92,12,0,4,1,0,0,0.98,normal
173102.61,133,36,10,2,2,0,0,1.438,synthetic_anomaly
358106.94,73,13,0,4,0,0,0,1.082,normal
225054.4,286,4,1,4,0,0,0,1.068,normal
259295.14,680,15,3,2,0,0,0,1.102,normal
192244.95,252,14,0,2,0,1,0,1.12,normal
216662.62,551,12,0,2,0,0,0,0.99,normal
199791.5,90,2,1,2,0,0,0,1.078,normal
220183.44,251,7,0,2,0,0,0,0.989,normal
202751.5,397,11,0,2,0,0,0,1.048,normal
197643.31,253,7,0,2,0,0,0,1.037,normal
233598.8,368,17,0,2,0,0,0,1.091,normal
310323.82,467,17,0,4,1,0,0,0.986,normal
192920.54,730,19,1,3,0,0,0,0.982,normal
257207.66,721,7,0,4,0,0,0,1.104,normal
262060.63,313,18,3,2,0,0,0,1.122,normal
397014.18,889,20,0,2,0,0,0,1.054,normal
203923.62,541,12,2,3,0,0,0,0.989,normal
173846.05,375,12,0,4,0,0,0,1.088,normal
1237448.6,438,38,1,3,1,0,2,2.15,synthetic_anomaly
