name,district,province,type,aliases
Colombo,Colombo,Western,city,Colombo City
Sri Jayawardenepura Kotte,Colombo,Western,city,Kotte|Sri Jayawardenapura Kotte
Nugegoda,Colombo,Western,suburb,Nugegoda Junction
Maharagama,Colombo,Western,town,
Dehiwala,Colombo,Western,suburb,Dehiwela
Mount Lavinia,Colombo,Western,suburb,Mt Lavinia|Galkissa
Moratuwa,Colombo,Western,city,
Rajagiriya,Colombo,Western,suburb,
Battaramulla,Colombo,Western,suburb,
Homagama,Colombo,Western,town,
Piliyandala,Colombo,Western,town,
Kaduwela,Colombo,Western,town,
Boralesgamuwa,Colombo,Western,town,
Kottawa,Colombo,Western,suburb,
Malabe,Colombo,Western,suburb,
Avissawella,Colombo,Western,town,Seethawaka
Wattala,Gampaha,Western,town,
Kelaniya,Gampaha,Western,town,
Ja-Ela,Gampaha,Western,town,Ja Ela
Gampaha,Gampaha,Western,city,
Negombo,Gampaha,Western,city,
Kadawatha,Gampaha,Western,town,
Kiribathgoda,Gampaha,Western,suburb,
Panadura,Kalutara,Western,city,
Kalutara,Kalutara,Western,city,
Horana,Kalutara,Western,town,
Kandy,Kandy,Central,city,Mahanuwara
Nuwara Eliya,Nuwara Eliya,Central,city,Nuwaraeliya
Matale,Matale,Central,city,
Galle,Galle,Southern,city,
Matara,Matara,Southern,city,
Hambantota,Hambantota,Southern,city,
Kurunegala,Kurunegala,North Western,city,
Puttalam,Puttalam,North Western,city,
Jaffna,Jaffna,Northern,city,Yalpanam
Vavuniya,Vavuniya,Northern,city,
Mannar,Mannar,Northern,town,
Kilinochchi,Kilinochchi,Northern,town,
Anuradhapura,Anuradhapura,North Central,city,
Polonnaruwa,Polonnaruwa,North Central,city,
Ratnapura,Ratnapura,Sabaragamuwa,city,
Kegalle,Kegalle,Sabaragamuwa,town,
Badulla,Badulla,Uva,city,
Bandarawela,Badulla,Uva,town,
Monaragala,Monaragala,Uva,town,
Batticaloa,Batticaloa,Eastern,city,Madakalapuwa
Trincomalee,Trincomalee,Eastern,city,Trinco
Ampara,Ampara,Eastern,town,
Kataragama,Monaragala,Uva,town,
Ella,Badulla,Uva,town,
